,Player,Model_Odds,Favor,FanDuel,Difference,Model_Probability,FanDuel_Probability,Weight,WeightedValue
139,Jordan Whittington,122.22222222222224,1,1000.0,-877.7777777777777,0.45,0.09090909090909091,0.55,-0.19750000000000004
63,Brevyn Spann-Ford,212.5,1,2100.0,-1887.5,0.32,0.045454545454545456,0.6799999999999999,-0.18669090909090907
174,Darius Slayton,122.22222222222224,1,480.0,-357.77777777777777,0.45,0.1724137931034483,0.55,-0.15267241379310345
176,Tyler Conklin,194.1176470588236,1,550.0,-355.8823529411764,0.3399999999999999,0.15384615384615385,0.6600000000000001,-0.12286153846153842
50,Elijah Moore,-100.0,-1,250.0,-350.0,0.5,0.2857142857142857,0.5,-0.10714285714285715
62,Luke Schoonmaker,354.54545454545456,1,1000.0,-645.4545454545455,0.22,0.09090909090909091,0.78,-0.1006909090909091
34,Tommy Tremble,334.78260869565213,1,850.0,-515.2173913043479,0.23,0.10526315789473684,0.77,-0.09604736842105265
29,Xavier Legette,233.33333333333337,1,470.0,-236.66666666666663,0.3,0.17543859649122806,0.7,-0.08719298245614035
195,MyCole Pruitt,566.6666666666667,1,1900.0,-1333.3333333333333,0.15,0.05,0.85,-0.08499999999999999
117,Xavier Worthy,177.77777777777777,1,340.0,-162.22222222222223,0.36,0.22727272727272727,0.64,-0.08494545454545455
39,Rome Odunze,122.22222222222224,1,230.0,-107.77777777777776,0.45,0.30303030303030304,0.55,-0.08083333333333334
9,Ray-Ray McCloud III,212.5,1,380.0,-167.5,0.32,0.20833333333333334,0.6799999999999999,-0.07593333333333332
46,Drew Sample,525.0,1,1300.0,-775.0,0.16,0.07142857142857142,0.84,-0.07440000000000001
172,Malik Nabers,132.55813953488374,1,230.0,-97.44186046511626,0.43,0.30303030303030304,0.5700000000000001,-0.07237272727272727
32,Adam Thielen,222.5806451612903,1,380.0,-157.4193548387097,0.31,0.20833333333333334,0.69,-0.07014999999999999
61,Jonathan Mingo,525.0,1,1200.0,-675.0,0.16,0.07692307692307693,0.84,-0.06978461538461538
108,Brenton Strange,566.6666666666667,1,1100.0,-533.3333333333333,0.15,0.08333333333333333,0.85,-0.056666666666666664
136,Puka Nacua,-112.76595744680851,-1,135.0,-247.7659574468085,0.53,0.425531914893617,0.47,-0.049100000000000005
105,Luke Farrell,900.0,1,2100.0,-1200.0,0.1,0.045454545454545456,0.9,-0.049090909090909095
55,Michael Woods II,400.0,1,600.0,-200.0,0.2,0.14285714285714285,0.8,-0.045714285714285735
128,Ladd McConkey,132.55813953488374,1,185.0,-52.441860465116264,0.43,0.3508771929824561,0.5700000000000001,-0.045100000000000015
